Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

NORTHLAND; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Cloudy;Showers;Showers;Fine;
NORTHLAND; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Westerlies, rising to strong southwesterlies in the morning.; FewShowers; Fine;Wind;Wind;Fine;
NORTHLAND; Thu 09 Sep 2021; Fine with a few clouds. Westerlies, becoming fresh in the morning.; Fine; Fine;Fine;PartCloudy;PartCloudy;
NORTHLAND; Fri 10 Sep 2021; A few showers, clearing to fine with high cloud south of Kerikeri for a time in the afternoon and evening. Fresh westerlies.; FewShowers; PartCloudy;FewShowers;PartCloudy;Wind;
NORTHLAND; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Fresh southwesterlies, easing in the afternoon.; FewShowers; Showers;Wind;Fine;Fine;
NORTHLAND; Sun 12 Sep 2021; Fine with a few clouds. Westerly breezes.; Fine; Fine;PartCloudy;Fine;Fine;
NORTHLAND; Mon 13 Sep 2021; Mostly cloudy, with fine spells and isolated showers for a time. Fresh northwesterlies, becoming strong later.; Cloudy; Cloudy;Cloudy;Fine;Wind;
NORTHLAND; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing to southerly breezes later.; Showers; Rain;Wind;Fine;Fine;
NORTHLAND; Wed 15 Sep 2021; Fine, then a few showers developing. Easterly breezes developing for a time.; FewShowers; Fine;Fine;FewShowers;Cloudy;
NORTHLAND; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Easterly breezes developing later.; PartCloudy; Fine;PartCloudy;Cloudy;Fine;


AUCKLAND; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine in the evening. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Cloudy;Showers;Rain;Fine;
AUCKLAND; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Strong westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; Wind; Fine;WindRain;Wind;Wind;
AUCKLAND; Thu 09 Sep 2021; Fine with a few clouds. Fresh westerlies.; Fine; Fine;Fine;PartCloudy;PartCloudy;
AUCKLAND; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Strong westerlies, rising to gale northwesterlies in the afternoon.; FewShowers; PartCloudy;Wind;Wind;Wind;
AUCKLAND; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Strong southwesterlies, easing in the evening.; FewShowers; Showers;Wind;Wind;Fine;
AUCKLAND; Sun 12 Sep 2021; Fine with a few clouds. Westerlies.; Fine; Fine;PartCloudy;Fine;Fine;
