Model run 2021090612Z
Started looking for data at 17:00Z
Data complete at 17:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

NORTHLAND; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Showers;Rain;Rain;Fine;
NORTHLAND; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; Showers; Fine;WindRain;Wind;Fine;
NORTHLAND; Thu 09 Sep 2021; Fine with a few clouds. Fresh westerlies, easing in the morning.; PartCloudy; Fine;Fine;Fine;PartCloudy;
NORTHLAND; Fri 10 Sep 2021; A few showers, clearing to fine with high cloud in the morning. Westerlies, rising to strong northwesterlies in the morning.; FewShowers; FewShowers;PartCloudy;PartCloudy;Wind;
NORTHLAND; Sat 11 Sep 2021; Rain, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the evening.; Showers; Rain;Fine;Fine;Fine;
NORTHLAND; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


AUCKLAND; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine in the evening. Fresh northerlies, easing to westerlies in the evening.; Showers; Cloudy;Showers;Showers;Fine;
AUCKLAND; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; Showers; Fine;WindRain;Wind;Wind;
AUCKLAND; Thu 09 Sep 2021; Fine with a few clouds. Fresh westerlies, easing in the evening.; Fine; Fine;Fine;Fine;Fine;
AUCKLAND; Fri 10 Sep 2021; Fine with high cloud, then becoming cloudy with drizzle developing in the evening. Westerlies, rising to strong northwesterlies in the morning.; Wind; Fine;Wind;Wind;Wind;
AUCKLAND; Sat 11 Sep 2021; Showers, some heavy, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the evening.; Showers; Showers;Wind;Fine;Fine;
AUCKLAND; Sun 12 Sep 2021; Mostly cloudy, with fine spells and isolated showers developing in the evening. Westerly breezes.; Cloudy; Fine;Cloudy;Cloudy;Fine;


COROMANDEL PENINSULA; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread in the afternoon. Fresh northerlies, easing to westerlies in the evening.; Showers; Cloudy;Rain;Showers;Fine;
COROMANDEL PENINSULA; Wed 08 Sep 2021; Fine at first, then becoming cloudy with scattered rain developing in the morning. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;Wind;Wind;Fine;
COROMANDEL PENINSULA; Thu 09 Sep 2021; Fine with a few clouds. Westerlies, becoming fresh in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
COROMANDEL PENINSULA; Fri 10 Sep 2021; Fine with high cloud, becoming cloudy in the evening. Fresh westerlies, rising to gale northwesterlies in the evening.; PartCloudy; Fine;PartCloudy;PartCloudy;Wind;
COROMANDEL PENINSULA; Sat 11 Sep 2021; Rain, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the evening.; Showers; Rain;Fine;Fine;Fine;
COROMANDEL PENINSULA; Sun 12 Sep 2021; Mostly cloudy, becoming fine in the evening. Westerly breezes developing in the morning.; Fine; Fine;Cloudy;Cloudy;Fine;


WAIKATO; Tue 07 Sep 2021; Cloudy with patchy drizzle, becoming showers in the morning. Fresh northerlies, easing to westerlies in the evening.; Showers; Cloudy;Rain;Showers;FewShowers;
WAIKATO; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Westerlies, rising to strong southwesterlies for a time in the afternoon and evening.; Showers; Fine;Showers;Wind;Fine;
WAIKATO; Thu 09 Sep 2021; Fine with a few clouds. Fresh westerlies, easing in the morning.; Fine; Fine;Fine;PartCloudy;Fine;
WAIKATO; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Northwesterlies, becoming fresh in the morning.; FewShowers; Fine;Wind;PartCloudy;Showers;
WAIKATO; Sat 11 Sep 2021; Showers, some heavy, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the morning.; Showers; Showers;Fine;Fine;Fine;
WAIKATO; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;PartCloudy;


WAITOMO; Tue 07 Sep 2021; Cloudy with scattered rain, turning to drizzle in the afternoon. Fresh northerlies, easing to westerlies in the evening.; Showers; Cloudy;Showers;Showers;Drizzle;
WAITOMO; Wed 08 Sep 2021; Fine with a few clouds at first, then showers developing in the morning. Westerlies, rising to strong southwesterlies for a time in the afternoon and evening.; Showers; Fine;Rain;Wind;Fine;
WAITOMO; Thu 09 Sep 2021; Partly cloudy, with a few showers for a time in the afternoon. Fresh westerlies, easing in the morning.; FewShowers; Fine;Cloudy;FewShowers;Fine;
WAITOMO; Fri 10 Sep 2021; Mostly cloudy, then rain developing in the evening. Fresh northwesterlies, easing to southwesterlies in the evening.; Showers; Cloudy;Wind;Wind;Rain;
WAITOMO; Sat 11 Sep 2021; Fine. Southwesterlies, easing to light winds in the evening.; Fine; Fine;Fine;Fine;Fine;
WAITOMO; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;PartCloudy;


BAY OF PLENTY; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread in the afternoon. Fresh northerlies, easing to northwesterly breezes in the evening.; Rain; Showers;Showers;Rain;Rain;
BAY OF PLENTY; Wed 08 Sep 2021; A few showers, becoming more frequent for a time in the afternoon and evening. Westerlies, becoming fresh for a time in the afternoon and evening.; Showers; Fine;Showers;Showers;FewShowers;
BAY OF PLENTY; Thu 09 Sep 2021; Fine with a few clouds. Westerlies developing in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
BAY OF PLENTY; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Northwesterlies, becoming fresh in the morning.; FewShowers; PartCloudy;FewShowers;Cloudy;Showers;
BAY OF PLENTY; Sat 11 Sep 2021; Rain, clearing to fine in the morning. Southwesterlies, easing to light winds in the morning.; Showers; Rain;Fine;Fine;Fine;
BAY OF PLENTY; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Fine; Fine;Cloudy;PartCloudy;Fine;


ROTORUA; Tue 07 Sep 2021; Cloudy with scattered rain, turning to drizzle in the evening. Northerlies.; Showers; Showers;Rain;Showers;Drizzle;
ROTORUA; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Westerly breezes, rising to fresh southwesterlies for a time in the afternoon and evening.; FewShowers; Cloudy;Showers;Fine;Fine;
ROTORUA; Thu 09 Sep 2021; Partly cloudy, becoming fine for a time in the afternoon. Westerlies.; PartCloudy; Cloudy;PartCloudy;Fine;Cloudy;
ROTORUA; Fri 10 Sep 2021; Mostly cloudy, with patchy drizzle developing in the evening. Northwesterlies, becoming fresh in the morning.; Cloudy; Fine;PartCloudy;Cloudy;Cloudy;
ROTORUA; Sat 11 Sep 2021; Rain, clearing to fine with a few clouds in the morning. Southwesterlies, easing to light winds in the morning.; Showers; Rain;Fine;Fine;Fine;
