Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Tongariro National Park; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Rain; Showers;WindRain;Rain;Rain;
Tongariro National Park; Wed 08 Sep 2021; Cloudy with scattered rain, becoming widespread for a time in the afternoon and evening. Fresh westerlies, easing in the afternoon.; Showers; Cloudy;Rain;Rain;Showers;
Tongariro National Park; Thu 09 Sep 2021; Cloudy with patchy drizzle, becoming showers for a time in the afternoon and evening. Westerlies, becoming fresh in the morning.; Showers; Cloudy;Cloudy;Showers;Cloudy;
Tongariro National Park; Fri 10 Sep 2021; Cloudy with scattered rain, becoming widespread in the afternoon. Strong westerlies, rising to gale northwesterlies in the morning.; Wind; Wind;Wind;WindRain;WindRain;
Tongariro National Park; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the evening.; FewShowers; Showers;FewShowers;FewShowers;Fine;
Tongariro National Park; Sun 12 Sep 2021; Mostly cloudy. Northwesterly breezes, rising to fresh westerlies for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


Egmont National Park; Tue 07 Sep 2021; Rain with heavy falls, easing to a few showers in the evening. Strong northerlies, easing to fresh westerlies in the afternoon.; Rain; WindRain;WindRain;WindRain;Showers;
Egmont National Park; Wed 08 Sep 2021; Showers, clearing to fine in the evening. Fresh northwesterlies, rising to gale southwesterlies in the morning.; Wind; Showers;WindRain;Wind;Wind;
Egmont National Park; Thu 09 Sep 2021; Partly cloudy at first, with a few showers developing in the morning. Strong westerlies, becoming fresh in the afternoon.; FewShowers; Fine;Wind;Wind;Cloudy;
Egmont National Park; Fri 10 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Gale northwesterlies, easing to fresh westerlies in the evening.; Wind; Wind;WindRain;WindRain;Rain;
Egmont National Park; Sat 11 Sep 2021; A few showers, clearing to fine for a time in the afternoon and evening. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;FewShowers;Fine;Fine;
Egmont National Park; Sun 12 Sep 2021; Partly cloudy, then scattered rain for a time. Westerlies, becoming fresh for a time.; FewShowers; PartCloudy;Cloudy;Showers;FewShowers;


Tararua Forest Park; Tue 07 Sep 2021; Showers, with some heavy for a time in the afternoon and evening. Strong northerlies, rising to gale northwesterlies in the afternoon.; Wind; Showers;WindRain;Wind;Wind;
Tararua Forest Park; Wed 08 Sep 2021; Showers, clearing to fine in the afternoon. Fresh westerlies, easing to southerlies for a time in the afternoon and evening.; Showers; Wind;Rain;Showers;Fine;
Tararua Forest Park; Thu 09 Sep 2021; Fine at first, then a few showers developing in the morning. Fresh northwesterlies, becoming gale in the morning.; Wind; Fine;Wind;Wind;Wind;
Tararua Forest Park; Fri 10 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Severe gale northwesterlies, becoming strong in the evening.; Wind; Wind;WindRain;WindRain;Showers;
Tararua Forest Park; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Southwesterlies, easing to light winds in the afternoon.; PartCloudy; FewShowers;FewShowers;PartCloudy;Fine;
Tararua Forest Park; Sun 12 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain developing. Fresh northwesterlies, becoming gale.; Wind; Fine;Wind;Wind;Wind;


Kahurangi National Park; Tue 07 Sep 2021; Rain with heavy falls, becoming showers in the morning. Fresh northerlies, turning westerly in the afternoon.; Showers; Rain;Showers;Rain;Showers;
