Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Kaitaia; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Drizzle;Rain;Showers;Fine;
Kaitaia; Wed 08 Sep 2021; A few showers, clearing in the afternoon, but remaining partly cloudy. Fresh westerlies, rising to gale southwesterlies in the morning.; Wind; Fine;Wind;Wind;Fine;
Kaitaia; Thu 09 Sep 2021; Fine with a few clouds. Fresh southwesterlies, easing to westerly breezes in the afternoon.; Fine; Fine;Fine;Fine;PartCloudy;
Kaitaia; Fri 10 Sep 2021; Fine with high cloud at first, then a few showers developing in the morning. Fresh westerlies, becoming strong for a time in the afternoon and evening.; FewShowers; PartCloudy;FewShowers;Wind;Wind;
Kaitaia; Sat 11 Sep 2021; Showers at first, clearing to fine with a few clouds in the morning. Strong southwesterlies, easing in the afternoon.; FewShowers; WindRain;FewShowers;Cloudy;Fine;
Kaitaia; Sun 12 Sep 2021; Fine with a few clouds. Westerlies developing for a time.; Fine; Fine;Cloudy;Fine;Fine;
Kaitaia; Mon 13 Sep 2021; Partly cloudy. Northwesterlies, becoming fresh for a time.; Cloudy; Fine;Cloudy;PartCloudy;Cloudy;
Kaitaia; Tue 14 Sep 2021; Showers, clearing to fine with a few clouds for a time. Fresh southwesterlies, easing to southerly breezes later.; Showers; Rain;Fine;Fine;Fine;
Kaitaia; Wed 15 Sep 2021; Fine, then rain for a time. Light winds.; FewShowers; Fine;Drizzle;Rain;Fine;
Kaitaia; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Easterly breezes developing later.; PartCloudy; Fine;PartCloudy;Cloudy;Fine;


Paihia; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Drizzle;Rain;Showers;Fine;
Paihia; Wed 08 Sep 2021; Mainly fine with isolated showers, clearing for a time in the afternoon and evening. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; PartCloudy; Fine;Wind;Wind;Fine;
Paihia; Thu 09 Sep 2021; Fine. Westerlies.; Fine; Fine;Fine;Fine;Fine;
Paihia; Fri 10 Sep 2021; Fine with high cloud, then isolated showers for a time in the afternoon and evening. Northwesterlies, becoming fresh in the morning.; PartCloudy; PartCloudy;PartCloudy;Cloudy;Cloudy;
Paihia; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Fresh southwesterlies, easing in the afternoon.; FewShowers; Showers;FewShowers;Fine;Fine;
Paihia; Sun 12 Sep 2021; Fine with a few clouds. Westerly breezes.; Fine; Fine;Fine;Cloudy;Fine;
Paihia; Mon 13 Sep 2021; Mostly cloudy, with isolated showers for a time. Fresh northwesterlies, becoming strong later.; Cloudy; Cloudy;Wind;PartCloudy;Wind;
Paihia; Tue 14 Sep 2021; A few showers, clearing to fine for a time. Fresh southwesterlies, easing later.; Showers; Rain;Wind;Fine;Fine;
Paihia; Wed 15 Sep 2021; Fine, becoming partly cloudy. Easterlies developing for a time.; Fine; Fine;Fine;Fine;Fine;
Paihia; Thu 16 Sep 2021; Fine with a few clouds, becoming cloudy for a time. Northeasterly breezes developing for a time.; PartCloudy; Fine;PartCloudy;Cloudy;Fine;


Whangarei; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Northerlies, turning westerly in the afternoon.; Showers; Cloudy;Showers;Showers;Fine;
Whangarei; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;Wind;Wind;PartCloudy;
Whangarei; Thu 09 Sep 2021; Fine, becoming partly cloudy in the evening. Fresh westerlies, easing in the afternoon.; Fine; Fine;Fine;Fine;Cloudy;
Whangarei; Fri 10 Sep 2021; Fine with high cloud. Westerly breezes, rising to fresh northwesterlies in the morning.; PartCloudy; Fine;PartCloudy;PartCloudy;Cloudy;
Whangarei; Sat 11 Sep 2021; Showers, clearing to fine in the afternoon. Fresh southwesterlies, easing in the afternoon.; FewShowers; Showers;FewShowers;FewShowers;Fine;
Whangarei; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes.; Fine; Fine;Cloudy;Cloudy;Fine;
Whangarei; Mon 13 Sep 2021; Fine, becoming partly cloudy for a time. Northwesterlies, becoming fresh for a time.; Fine; Fine;Cloudy;Fine;Fine;
Whangarei; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing.; Showers; Rain;Wind;Fine;Fine;
Whangarei; Wed 15 Sep 2021; Fine, becoming partly cloudy. Easterly breezes developing for a time.; Fine; Fine;Fine;Fine;Cloudy;
Whangarei; Thu 16 Sep 2021; Mostly cloudy, with patchy drizzle for a time. Easterly breezes developing for a time.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;


Dargaville; Tue 07 Sep 2021; Mostly cloudy at first, with a few showers developing in the morning. Northerlies, turning westerly in the afternoon.; Showers; Cloudy;Rain;FewShowers;FewShowers;
Dargaville; Wed 08 Sep 2021; A few showers, clearing in the afternoon, but remaining partly cloudy. Fresh westerlies, rising to gale southwesterlies in the morning.; Wind; Fine;Wind;Wind;Wind;
Dargaville; Thu 09 Sep 2021; Fine, then a few showers for a time in the afternoon and evening. Fresh westerlies.; FewShowers; Fine;Fine;Drizzle;PartCloudy;
Dargaville; Fri 10 Sep 2021; Fine with high cloud, then becoming cloudy with scattered rain developing in the evening. Strong westerlies, rising to gale northwesterlies in the afternoon.; Wind; PartCloudy;Wind;Wind;Wind;
Dargaville; Sat 11 Sep 2021; A few showers, clearing in the afternoon, but remaining partly cloudy. Fresh southwesterlies, easing in the evening.; FewShowers; Wind;Wind;FewShowers;Fine;
Dargaville; Sun 12 Sep 2021; Fine with a few clouds. Westerlies, turning northerly later.; Fine; Fine;Fine;Fine;PartCloudy;
Dargaville; Mon 13 Sep 2021; Mostly cloudy, becoming fine. Fresh northwesterlies, becoming strong later.; Fine; Fine;Cloudy;Fine;Wind;
Dargaville; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing to southerly breezes later.; Showers; Rain;Wind;Fine;Fine;
Dargaville; Wed 15 Sep 2021; Fine with a few clouds, becoming cloudy later. Southeasterlies, easing to light winds.; Fine; Fine;Fine;Fine;Cloudy;
Dargaville; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Southerly breezes developing for a time.; Cloudy; Fine;PartCloudy;Cloudy;Fine;


Auckland; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Cloudy;Showers;Rain;Fine;
Auckland; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Strong westerlies, rising to gale southwesterlies in the afternoon.; Wind; Fine;WindRain;Wind;Wind;
Auckland; Thu 09 Sep 2021; Fine with a few clouds. Fresh westerlies.; Fine; Fine;Fine;Fine;Fine;
Auckland; Fri 10 Sep 2021; Fine with high cloud, then becoming cloudy with scattered rain developing in the evening. Westerlies, rising to strong northwesterlies in the morning.; FewShowers; PartCloudy;Wind;Wind;Wind;
Auckland; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Strong southwesterlies, easing in the afternoon.; FewShowers; Showers;Wind;Fine;Fine;
Auckland; Sun 12 Sep 2021; Fine with a few clouds. Westerlies, turning northerly later.; Fine; Fine;Fine;Fine;Fine;
Auckland; Mon 13 Sep 2021; Mostly cloudy, with fine spells and isolated showers for a time. Fresh northwesterlies.; Cloudy; PartCloudy;Wind;Fine;Cloudy;
